,Athlete,Country,Medal,Olympic,Sport
8410,"FRANKE, Egon","['POL', 'POL', 'POL']","[['Silver', 'Gold', 'Bronze'], [1, 1, 1]]","[['Tokyo', 'Tokyo', 'Mexico'], [1964, 1964, 1968]]","['Fencing', 'Fencing', 'Fencing']"
8411,"MAGNAN, Jean-Claude","['FRA', 'FRA', 'FRA']","[['Silver', 'Gold', 'Bronze'], [1, 1, 2]]","[['Tokyo', 'Mexico', 'Tokyo', 'Munich'], [1964, 1968, 1964, 1972]]","['Fencing', 'Fencing', 'Fencing']"
8412,"MEES-VOLZ, Helga Margot","['EUA', 'EUA']","[['Silver', 'Bronze'], [1, 1]]","[['Tokyo', 'Tokyo'], [1964, 1964]]","['Fencing', 'Fencing']"
8413,"COURTILLAT, Jacques",['FRA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Fencing']
8414,"NOËL, Christian","['FRA', 'FRA']","[['Gold', 'Bronze'], [1, 4]]","[['Mexico', 'Tokyo', 'Munich', 'Montreal'], [1968, 1964, 1972, 1976]]","['Fencing', 'Fencing']"
8415,"RODOCANACHO, Pierre",['FRA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Fencing']
8416,"SHAROV, Yuri","['URS', 'URS']","[['Silver', 'Gold'], [1, 1]]","[['Mexico', 'Tokyo'], [1968, 1964]]","['Fencing', 'Fencing']"
8417,"PARULSKI, Ryszard Wladyslaw","['POL', 'POL']","[['Silver', 'Bronze'], [1, 1]]","[['Tokyo', 'Mexico'], [1964, 1968]]","['Fencing', 'Fencing']"
8418,"ROZYCKI, Jan",['POL'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Fencing']
8419,"SKRUDLIK, Zbigniew","['POL', 'POL']","[['Silver', 'Bronze'], [1, 1]]","[['Tokyo', 'Mexico'], [1964, 1968]]","['Fencing', 'Fencing']"
8420,"WOYDA, Witold","['POL', 'POL', 'POL']","[['Silver', 'Gold', 'Bronze'], [1, 2, 1]]","[['Tokyo', 'Munich', 'Mexico'], [1964, 1972, 1968]]","['Fencing', 'Fencing', 'Fencing']"
8421,"THEUERKAUFF-VORBRICH, Gudrun",['EUA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Fencing']
8422,"WEISS-SCHERBERGER, Rosemarie (Romy)",['EUA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Fencing']
8423,"AGOSTON-MENDELENYI, Judit",['HUN'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Fencing']
8424,"MAROSI-FOLDESI, Paula","['HUN', 'HUN']","[['Silver', 'Gold'], [1, 1]]","[['Mexico', 'Tokyo'], [1968, 1964]]","['Fencing', 'Fencing']"
8425,"MAVLIKHANOV, Umar","['URS', 'URS']","[['Gold', 'Bronze'], [2, 1]]","[['Tokyo', 'Mexico', 'Tokyo'], [1964, 1968, 1964]]","['Fencing', 'Fencing']"
8426,"PEZSA, Tibor","['HUN', 'HUN']","[['Gold', 'Bronze'], [1, 3]]","[['Tokyo', 'Mexico', 'Munich'], [1964, 1968, 1972]]","['Fencing', 'Fencing']"
8427,"ARABO, Claude",['FRA'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Fencing']
8428,"ASATIANI, Nugzar",['URS'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Fencing']
8429,"MELNIKOV, Boris",['URS'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Fencing']
8430,"RAKITA, Mark","['URS', 'URS']","[['Silver', 'Gold'], [2, 2]]","[['Mexico', 'Munich', 'Tokyo', 'Mexico'], [1968, 1972, 1964, 1968]]","['Fencing', 'Fencing']"
8431,"SALVADORI, Cesare","['ITA', 'ITA']","[['Silver', 'Gold'], [2, 1]]","[['Tokyo', 'Mexico', 'Munich'], [1964, 1968, 1972]]","['Fencing', 'Fencing']"
8432,"BARTHELS, Wolfgang",['EUA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Football']
8433,"BAUCHSPIESS, Bernd",['EUA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Football']
8434,"ENGELHARDT, Dieter",['EUA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Football']
8435,"FRÄSSDORF, Otto",['EUA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Football']
8436,"FRENZEL, Henning",['EUA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Football']
8437,"GEISLER, Manfred",['EUA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Football']
8438,"HEINSCH, Hans-Jürgen",['EUA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Football']
8439,"KÖRNER, Gerhard",['EUA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Football']
8440,"LISIEWICZ, Klaus",['EUA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Football']
8441,"NÖLDNER, Jürgen",['EUA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Football']
8442,"PANKAU, Herbert",['EUA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Football']
8443,"ROCK, Peter",['EUA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Football']
8444,"SEEHAUS, Klaus-Dieter",['EUA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Football']
8445,"STÖCKER, Hermann",['EUA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Football']
8446,"UNGER, Werner",['EUA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Football']
8447,"URBANCZYK, Klaus",['EUA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Football']
8448,"VOGEL, Eberhard","['EUA', 'GDR']","[['Bronze'], [2]]","[['Tokyo', 'Munich'], [1964, 1972]]",['Football']
8449,"WALTER, Manfred",['EUA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Football']
8450,"WEIGANG, Horst",['EUA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Football']
8451,"BENE, Ferenc",['HUN'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Football']
8452,"CSERNAI, Tibor",['HUN'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Football']
8453,"FARKAS, Janos",['HUN'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Football']
8454,"GELEI, Jozsef",['HUN'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Football']
8455,"IHASZ, Kalman",['HUN'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Football']
8456,"KATONA, Sandor",['HUN'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Football']
8457,"KOMORA, Imre",['HUN'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Football']
8458,"NOGRADI, Ferenc",['HUN'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Football']
8459,"ORBAN, Arpad",['HUN'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Football']
8460,"PALOTAI, Karoly",['HUN'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Football']
8461,"SZENTMIHALYI, Antal",['HUN'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Football']
8462,"SZEPESI, Gusztav",['HUN'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Football']
8463,"VARGA, Zoltan",['HUN'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Football']
8464,"BRUMOWSKY, Jan",['TCH'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Football']
8465,"CVETLER, Ludevit",['TCH'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Football']
8466,"GELETA, Jan",['TCH'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Football']
8467,"KNEBORT, Frantisek",['TCH'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Football']
8468,"KNESL, Karel",['TCH'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Football']
8469,"LICHTNEGL, Karel",['TCH'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Football']
8470,"MASNY, Vojtech",['TCH'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Football']
8471,"MATLAK, Stefan",['TCH'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Football']
8472,"MRAZ, Ivan",['TCH'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Football']
8473,"NEPOMUCKY, Karel",['TCH'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Football']
8474,"PICMAN, Karel Zdenek",['TCH'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Football']
8475,"SCHMUCKER, Frantisek",['TCH'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Football']
8476,"SVAJLEN, Antonin",['TCH'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Football']
8477,"URBAN, Antonin",['TCH'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Football']
8478,"VALOSEK, Frantisek",['TCH'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Football']
8479,"VOJTA, Josef",['TCH'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Football']
8480,"WEISS, Vladimir",['TCH'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Football']
8481,"LISITSKY, Viktor",['URS'],"[['Silver'], [5]]","[['Tokyo', 'Mexico'], [1964, 1968]]",['Gymnastics']
8482,"JANOSI, Ducza Aniko",['HUN'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Gymnastics']
8483,"CERAR, Miroslav","['YUG', 'YUG']","[['Gold', 'Bronze'], [2, 1]]","[['Tokyo', 'Mexico', 'Tokyo'], [1964, 1968, 1964]]","['Gymnastics', 'Gymnastics']"
8484,"TSAPENKO, Yuri","['URS', 'URS']","[['Silver', 'Bronze'], [1, 1]]","[['Tokyo', 'Tokyo'], [1964, 1964]]","['Gymnastics', 'Gymnastics']"
8485,"HAYATA, Takuji",['JPN'],"[['Gold'], [2]]","[['Tokyo'], [1964]]",['Gymnastics']
8486,"FÜLLE, Siegfried","['EUA', 'GDR']","[['Bronze'], [2]]","[['Tokyo', 'Mexico'], [1964, 1968]]",['Gymnastics']
8487,"FÜRST, Philipp",['EUA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Gymnastics']
8488,"KOPPE, Erwin",['EUA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Gymnastics']
8489,"KÖSTE, Klaus","['GDR', 'EUA', 'GDR']","[['Gold', 'Bronze'], [1, 3]]","[['Munich', 'Tokyo', 'Mexico', 'Munich'], [1972, 1964, 1968, 1972]]","['Gymnastics', 'Gymnastics']"
8490,"LYHS, Günther",['EUA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Gymnastics']
8491,"WEBER, Peter","['EUA', 'GDR']","[['Bronze'], [2]]","[['Tokyo', 'Mexico'], [1964, 1968]]",['Gymnastics']
8492,"YAMASHITA, Haruhiro",['JPN'],"[['Gold'], [2]]","[['Tokyo'], [1964]]",['Gymnastics']
8493,"DIOMIDOV, Sergei","['URS', 'URS']","[['Silver', 'Bronze'], [2, 1]]","[['Tokyo', 'Mexico', 'Mexico'], [1964, 1968, 1968]]","['Gymnastics', 'Gymnastics']"
8494,"LEONTYEV, Viktor",['URS'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Gymnastics']
8495,"ABUKAWA-CHIBA, Ginko",['JPN'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Gymnastics']
8496,"NAKAMURA-MITSUKURI, Taniko",['JPN'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Gymnastics']
8497,"ONO, Kiyoko",['JPN'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Gymnastics']
8498,"SHIRAZU-AIHARA, Toshiko",['JPN'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Gymnastics']
8499,"TANAKA-IKEDA, Keiko",['JPN'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Gymnastics']
8500,"TSUJI, Hiroko",['JPN'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Gymnastics']
8501,"GROMOVA, Lyudmila",['URS'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Gymnastics']
8502,"VOLCHETSKAYA, Elena",['URS'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Gymnastics']
8503,"KRAJCIROVA-NEMETHOVA, Mariana",['TCH'],"[['Silver'], [2]]","[['Tokyo', 'Mexico'], [1964, 1968]]",['Gymnastics']
8504,"POSNEROVA-KUBICKOVA, Jana",['TCH'],"[['Silver'], [2]]","[['Tokyo', 'Mexico'], [1964, 1968]]",['Gymnastics']
8505,"SEDLACKOVA, Jaroslava",['TCH'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Gymnastics']
8506,"MAKRAY-SCHMITT, Katalin",['HUN'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Gymnastics']
8507,"RANTAKARI, Hannu Juhani",['FIN'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Gymnastics']
8508,"RADOCHLA, Birgit",['EUA'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Gymnastics']
8509,"CROSSMAN, Mervyn",['AUS'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Hockey']
8510,"DEARING, Paul","['AUS', 'AUS']","[['Silver', 'Bronze'], [1, 1]]","[['Mexico', 'Tokyo'], [1968, 1964]]","['Hockey', 'Hockey']"
8511,"EVANS, Raymond","['AUS', 'AUS']","[['Silver', 'Bronze'], [1, 1]]","[['Mexico', 'Tokyo'], [1968, 1964]]","['Hockey', 'Hockey']"
8512,"GLENCROSS, Brian","['AUS', 'AUS']","[['Silver', 'Bronze'], [1, 1]]","[['Mexico', 'Tokyo'], [1968, 1964]]","['Hockey', 'Hockey']"
8513,"HODDER, Robin",['AUS'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Hockey']
8514,"MCBRYDE, John",['AUS'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Hockey']
8515,"MCWATTERS, Donald",['AUS'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Hockey']
8516,"NILAN, Patrick","['AUS', 'AUS']","[['Silver', 'Bronze'], [1, 1]]","[['Mexico', 'Tokyo'], [1968, 1964]]","['Hockey', 'Hockey']"
8517,"PEARCE, Eric Robert","['AUS', 'AUS']","[['Silver', 'Bronze'], [1, 1]]","[['Mexico', 'Tokyo'], [1968, 1964]]","['Hockey', 'Hockey']"
8518,"PEARCE, Julian","['AUS', 'AUS']","[['Silver', 'Bronze'], [1, 1]]","[['Mexico', 'Tokyo'], [1968, 1964]]","['Hockey', 'Hockey']"
8519,"PIPER, Desmond","['AUS', 'AUS']","[['Silver', 'Bronze'], [1, 1]]","[['Mexico', 'Tokyo'], [1968, 1964]]","['Hockey', 'Hockey']"
8520,"SMART, Donald","['AUS', 'AUS']","[['Silver', 'Bronze'], [1, 1]]","[['Mexico', 'Tokyo'], [1968, 1964]]","['Hockey', 'Hockey']"
8521,"WATERS, Anthony",['AUS'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Hockey']
8522,"WOOD, Graham",['AUS'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Hockey']
8523,"PATIL, Bandu",['IND'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Hockey']
8524,"SAYED, Ali",['IND'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Hockey']
8525,"SINGH, Darshan",['IND'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Hockey']
8526,"SINGH, Gurbux","['IND', 'IND']","[['Gold', 'Bronze'], [1, 1]]","[['Tokyo', 'Mexico'], [1964, 1968]]","['Hockey', 'Hockey']"
8527,"SINGH, Harbinder","['IND', 'IND']","[['Gold', 'Bronze'], [1, 2]]","[['Tokyo', 'Mexico', 'Munich'], [1964, 1968, 1972]]","['Hockey', 'Hockey']"
8528,"SINGH, Jagjit",['IND'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Hockey']
8529,"ASAD, Muhammad",['PAK'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Hockey']
8530,"KHALID, Mahmud",['PAK'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Hockey']
8531,"KHIZAR, Nawaz",['PAK'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Hockey']
8532,"KHURSHID, Azam",['PAK'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Hockey']
8533,"MANNA, Muhammad Afzal",['PAK'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Hockey']
8534,"MUHAMMAD, Rashid",['PAK'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Hockey']
8535,"NIAZI, Tariq","['PAK', 'PAK']","[['Silver', 'Gold'], [1, 1]]","[['Tokyo', 'Mexico'], [1964, 1968]]","['Hockey', 'Hockey']"
8536,"SAEED, Anwar","['PAK', 'PAK']","[['Silver', 'Gold'], [2, 1]]","[['Tokyo', 'Munich', 'Mexico'], [1964, 1972, 1968]]","['Hockey', 'Hockey']"
8537,"TARIQ, Aziz","['PAK', 'PAK']","[['Silver', 'Gold'], [1, 1]]","[['Tokyo', 'Mexico'], [1964, 1968]]","['Hockey', 'Hockey']"
8538,"ZAFAR, Hayat",['PAK'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Hockey']
8539,"ZAKA, Uddin",['PAK'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Hockey']
8540,"BOGOLYUBOV, Aron",['URS'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Judo']
8541,"STEPANOV, Oleg",['URS'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Judo']
8542,"NAKATANI, Takehide",['JPN'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Judo']
8543,"HÄNNI, Eric",['SUI'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Judo']
8544,"CHIKVILADZE, Parnaos",['URS'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Judo']
8545,"KIKNADZE, Anzor",['URS'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Judo']
8546,"INOKUMA, Isao",['JPN'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Judo']
8547,"ROGERS, Alfred Harold Douglas",['CAN'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Judo']
8548,"BREGMAN, James Steven",['USA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Judo']
8549,"KIM, Eui-Tae",['KOR'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Judo']
8550,"OKANO, Isao",['JPN'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Judo']
8551,"HOFMANN, Wolfgang",['EUA'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Judo']
8552,"BORONOSKI, Theodore",['AUS'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Judo']
8553,"GLAHN, Klaus","['FRG', 'EUA']","[['Silver', 'Bronze'], [1, 1]]","[['Munich', 'Tokyo'], [1972, 1964]]","['Judo', 'Judo']"
8554,"GEESINK, Antonius Johannes",['NED'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Judo']
8555,"KAMINAGA, Akio",['JPN'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Judo']
8556,"MOKEEV, Albert","['URS', 'URS']","[['Gold', 'Bronze'], [1, 1]]","[['Tokyo', 'Tokyo'], [1964, 1964]]","['Modern Pentathlon', 'Modern Pentathlon']"
8557,"TÖRÖK, Ferenc","['HUN', 'HUN']","[['Gold', 'Bronze'], [2, 1]]","[['Tokyo', 'Mexico', 'Tokyo'], [1964, 1968, 1964]]","['Modern Pentathlon', 'Modern Pentathlon']"
8558,"TOROK, Otto",['HUN'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Modern Pentathlon']
8559,"MINEEV, Viktor",['URS'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Modern Pentathlon']
8560,"KIRKWOOD, David Archer",['USA'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Modern Pentathlon']
8561,"MOORE, James Warren",['USA'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Modern Pentathlon']
8562,"PESTHY, Paul Karoly",['USA'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Modern Pentathlon']
8563,"HOTTENROTT, Wolfgang","['FRG', 'EUA']","[['Gold', 'Bronze'], [1, 1]]","[['Mexico', 'Tokyo'], [1968, 1964]]","['Rowing', 'Rowing']"
8564,"SCHWAN, Michael",['EUA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8565,"HUNGERFORD, George William",['CAN'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8566,"JACKSON, Roger Charles",['CAN'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8567,"BLAISSE, Steven Joseph",['NED'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8568,"VEENEMANS, Ernest Willem",['NED'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8569,"ANDRS, Vladimir",['TCH'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8570,"HOFMAN, Pavel",['TCH'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8571,"DUBROVSKY, Boris",['URS'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8572,"TYURIN, Oleg",['URS'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8573,"CROMWELL, Seymour Legrand II",['USA'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8574,"STORM, James Eugene",['USA'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8575,"CERMAK, Petr",['TCH'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8576,"MRVIK, Jan",['TCH'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8577,"NOVY, Richard",['TCH'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8578,"TOCEK, Julius",['TCH'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8579,"AMLONG, Joseph Brian",['USA'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8580,"AMLONG, Thomas Kennedy",['USA'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8581,"BUDD, Harold Boyce Jr.",['USA'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8582,"CLARK, Emory Wendell II",['USA'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8583,"CWIKLINSKI, Stanley Francis",['USA'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8584,"FOLEY, Hugh Miller",['USA'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8585,"KNECHT, William Joseph",['USA'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8586,"STOWE, William Arthur",['USA'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8587,"AEFFKE, Klaus",['EUA'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8588,"AHRENS, Thomas",['EUA'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8589,"BEHRENS, Klaus",['EUA'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8590,"MEYER, Horst","['EUA', 'FRG']","[['Silver', 'Gold'], [1, 1]]","[['Tokyo', 'Mexico'], [1964, 1968]]","['Rowing', 'Rowing']"
8591,"PLAGEMANN, Jürgen",['EUA'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8592,"SCHROEDER, Jürgen",['EUA'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8593,"WALLBRECHT, Hans-Jürgen",['EUA'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8594,"LYON, Richard Avery",['USA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8595,"MITTET, Theodore Peder",['USA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8596,"PICARD, Geoffrey William",['USA'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8597,"HANSEN, John Orsted",['DEN'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8598,"HASLOV, Björn Borgen",['DEN'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8599,"HELMUDT, Kurt",['DEN'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8600,"PETERSEN, Erik",['DEN'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8601,"BARRY, William Louis",['GBR'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8602,"JAMES, John Jesse",['GBR'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8603,"RUSSELL, John Michael",['GBR'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8604,"WARDELL-YERBURGH, Hugh Arthur",['GBR'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8605,"KLUMPERBEEK, Marius Pieter Louis",['NED'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8606,"MULLINK, Alex Gerhard",['NED'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8607,"VAN DE GRAAF, Robert",['NED'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8608,"VAN DE GRAAFF, Frederik Robbert",['NED'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8609,"VAN DE GRAAFF, Jan",['NED'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8610,"BRITTING, Bernhard",['EUA'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8611,"HIRSCHFELDER, Egbert","['EUA', 'FRG']","[['Gold'], [2]]","[['Tokyo', 'Mexico'], [1964, 1968]]",['Rowing']
8612,"NEUSEL, Peter",['EUA'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8613,"OELKE, Jürgen",['EUA'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8614,"WERNER, Joachim",['EUA'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8615,"DE PEDRINA, Franco",['ITA'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8616,"SPINOLA, Giovanni",['ITA'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8617,"TRIVINI, Emilio",['ITA'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8618,"BOS, Jan Justus",['NED'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8619,"HARTSUIKER, Frederik Klaas Jan",['NED'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8620,"ROUWE, Herman Jan",['NED'],"[['Bronze'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8621,"FERRY, Edward Payson",['USA'],"[['Gold'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8622,"DEROUY, Jean-Claude",['FRA'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Rowing']
8623,"MOREL, Georges",['FRA'],"[['Silver'], [1]]","[['Tokyo'], [1964]]",['Rowing']
