,Athlete,Country,Medal,Olympic,Sport
17162,"BARROS, Leila",['BRA'],"[['Bronze'], [2]]","[['Atlanta', 'Sydney'], [1996, 2000]]",['Volleyball']
17163,"BODZIAK, Ericleia ""Filo""",['BRA'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17164,"CALDEIRA, Hilma Aparecida",['BRA'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17165,"CONNELLY, Ana Paula",['BRA'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17166,"CUNHA, Marcia Regina",['BRA'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17167,"DIAS, Virna",['BRA'],"[['Bronze'], [2]]","[['Atlanta', 'Sydney'], [1996, 2000]]",['Volleyball']
17168,"MOSER, Ana Beatriz",['BRA'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17169,"SANGLARD, Ana Flavia",['BRA'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17170,"SOUZA, Helia","['BRA', 'BRA']","[['Gold', 'Bronze'], [1, 2]]","[['Beijing', 'Atlanta', 'Sydney'], [2008, 1996, 2000]]","['Volleyball', 'Volleyball']"
17171,"SURUAGY, Sandra",['BRA'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17172,"VENTURINI, Fernanda",['BRA'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17173,"AGUERO, Taimaris",['CUB'],"[['Gold'], [2]]","[['Atlanta', 'Sydney'], [1996, 2000]]",['Volleyball']
17174,"FRANCIA, Mirka",['CUB'],"[['Gold'], [2]]","[['Atlanta', 'Sydney'], [1996, 2000]]",['Volleyball']
17175,"RUIZ, Yumilka",['CUB'],"[['Gold'], [2]]","[['Atlanta', 'Sydney'], [1996, 2000]]",['Volleyball']
17176,"HE, Qi",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17177,"LAI, Yawen",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17178,"LI, Yan",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17179,"LIU, Xiaoning",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17180,"PAN, Wenli",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17181,"SUN, Yue",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17182,"WANG, Lina","['CHN', 'CHN']","[['Silver', 'Gold'], [1, 1]]","[['Atlanta', 'Athens'], [1996, 2004]]","['Volleyball', 'Volleyball']"
17183,"WANG, Yi",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17184,"WANG, Ziling",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17185,"WU, Yongmei",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17186,"ZHU, Yunying",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17187,"MINCHEV, Sevdalin",['BUL'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Weightlifting']
17188,"MUTLU, Halil",['TUR'],"[['Gold'], [3]]","[['Atlanta', 'Sydney', 'Athens'], [1996, 2000, 2004]]",['Weightlifting']
17189,"ZHANG, Xiangsen",['CHN'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Weightlifting']
17190,"CHEMERKIN, Andrey","['RUS', 'RUS']","[['Gold', 'Bronze'], [1, 1]]","[['Atlanta', 'Sydney'], [1996, 2000]]","['Weightlifting', 'Weightlifting']"
17191,"TANG, Ningsheng",['CHN'],"[['Gold'], [1]]","[['Atlanta'], [1996]]",['Weightlifting']
17192,"SAMPANIS, Leonidas",['GRE'],"[['Silver'], [2]]","[['Atlanta', 'Sydney'], [1996, 2000]]",['Weightlifting']
17193,"XIAO, Jiangang",['CHN'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Weightlifting']
17194,"LEONIDIS, Valerios",['GRE'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Weightlifting']
17195,"FERI, Attila",['HUN'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Weightlifting']
17196,"ZHAN, Xugang",['CHN'],"[['Gold'], [2]]","[['Atlanta', 'Sydney'], [1996, 2000]]",['Weightlifting']
17197,"JON, Chol Ho",['PRK'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Weightlifting']
17198,"COFALIK, Andrzej",['POL'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Weightlifting']
