,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
3109,1,5,5,5,3522,31,0,4,0,0
4246,13,6,2,2,9874,95,0,91,0,2
3314,1,5,12,17,13835,7,0,359,0,1
13435,12,16,14,1,6345,50,0,440,0,1
15181,10,17,36,46,5399,50,0,139,0,0
17502,7,19,15,19,4981,52,1,364,1,2
12827,12,16,0,35,12484,95,0,142,0,1
7711,6,10,14,1,7533,81,0,379,0,2
10050,14,13,3,3,1174,10,0,314,0,0
13826,12,16,35,44,6652,93,0,199,0,1
21,2,0,2,2,1740,95,0,129,0,1
167,13,1,0,35,13021,31,0,99,0,0
15951,11,18,14,1,13264,93,0,440,0,1
346,13,1,9,11,12950,31,0,298,0,1
9861,14,13,0,35,1638,28,1,142,1,0
9415,8,12,12,17,11340,93,0,359,0,1
2481,17,4,25,31,9753,64,0,324,0,0
14802,10,17,19,23,7152,50,0,215,0,2
3057,1,5,2,2,11317,95,0,183,0,2
923,16,2,12,17,1552,95,0,359,0,2
3239,1,5,11,15,13291,7,0,464,0,2
10028,14,13,2,2,13075,93,0,386,0,0
15735,11,18,10,13,3196,75,0,438,2,0
4079,1,5,35,44,199,56,0,8,0,2
10083,14,13,3,3,13987,93,0,314,0,2
14894,10,17,25,31,11188,93,1,343,1,2
18560,15,20,6,6,1701,11,0,277,0,0
8432,5,11,11,15,8204,48,0,463,0,1
13385,12,16,12,17,599,40,0,359,0,2
3263,1,5,11,15,13412,31,0,355,0,2
9863,14,13,0,35,7229,28,1,142,1,0
17207,7,19,10,14,10415,95,0,438,2,1
10470,14,13,21,26,590,40,0,300,0,1
18534,15,20,5,5,14911,34,0,184,0,1
19986,3,21,2,2,1497,35,1,367,1,0
19996,3,21,2,2,453,75,1,368,1,2
18919,15,20,14,1,12071,75,1,458,1,1
15935,11,18,14,1,8120,40,0,413,0,1
963,16,2,14,1,8694,95,0,322,0,0
14586,10,17,14,1,2382,75,1,313,1,1
11563,18,14,33,41,10545,93,0,460,0,1
5480,0,7,14,1,8243,48,1,440,1,2
18590,15,20,6,6,875,95,0,291,0,1
3984,1,5,28,34,394,95,0,319,0,1
9824,14,13,0,35,9801,50,0,93,0,2
14502,10,17,11,15,6952,40,1,355,1,0
9188,8,12,5,5,3320,75,0,194,0,0
16330,11,18,25,31,6911,70,1,404,1,2
14628,10,17,14,1,7087,93,0,440,0,2
19784,3,21,0,36,9705,50,1,431,1,0
2488,17,4,25,31,1635,83,0,324,0,2
13248,12,16,10,24,8973,33,1,374,2,2
10326,14,13,12,17,6190,97,0,359,0,1
19516,15,20,35,44,14245,34,0,47,0,0
11391,18,14,19,23,6553,93,0,5,0,0
8308,5,11,5,5,5319,3,0,225,0,0
4682,13,6,25,31,869,13,0,343,0,2
9145,8,12,3,3,1838,95,0,314,0,1
3483,1,5,14,1,12945,7,0,443,0,0
4564,13,6,12,17,24,81,0,359,0,2
18586,15,20,6,6,3833,34,1,289,1,2
10262,14,13,11,15,12167,93,0,355,0,1
6701,4,9,10,24,4863,75,0,374,2,2
15205,11,18,0,12,207,93,0,73,0,0
4065,1,5,32,39,13182,33,0,454,0,1
689,16,2,0,35,9795,95,0,146,0,0
18196,15,20,0,35,1101,95,0,158,0,1
4175,13,6,0,35,5130,33,1,141,1,2
1345,6,3,11,15,4526,9,0,420,0,0
18826,15,20,12,17,12206,93,0,359,0,1
4443,13,6,10,24,12469,83,0,438,2,1
14161,10,17,2,2,14861,34,1,259,1,0
17871,7,19,28,34,6018,95,1,160,1,0
6692,4,9,10,14,12709,35,0,438,2,1
18754,15,20,11,15,3538,32,0,355,0,2
14678,10,17,15,19,5788,93,0,364,0,1
2660,17,4,28,34,2863,77,0,120,0,2
4604,13,6,14,1,11834,31,0,418,0,2
9456,8,12,14,1,12963,50,0,407,0,0
16812,7,19,2,2,5969,95,0,91,0,0
19721,3,21,0,35,3072,95,0,142,0,1
18638,15,20,9,10,7257,83,0,442,0,0
6253,7,8,27,33,4838,13,0,268,2,2
10574,14,13,27,33,976,64,0,353,2,1
17560,7,19,16,20,10821,32,0,370,0,2
1452,6,3,14,1,7799,83,0,440,0,1
5580,0,7,25,31,13164,95,0,343,0,1
5660,0,7,35,44,14605,35,0,37,0,0
16162,11,18,16,20,10423,86,1,370,1,2
5220,0,7,5,5,8802,61,0,242,0,0
2579,17,4,27,33,975,83,0,80,2,2
1189,6,3,1,0,1580,33,0,462,0,2
17930,7,19,33,41,8884,50,1,460,1,0
5029,0,7,0,35,1339,83,0,84,0,1
6375,4,9,0,35,14067,61,1,141,1,1
12570,9,15,28,34,4174,48,0,430,0,2
5608,0,7,25,31,2651,48,0,361,0,1
11657,18,14,36,45,2138,11,0,266,0,0
1613,6,3,25,31,12708,33,0,343,0,0
13280,12,16,11,15,14562,70,0,354,0,1
9978,14,13,2,2,6472,12,0,145,0,0
7004,4,9,21,26,4993,35,0,284,0,1
3528,1,5,14,1,10784,21,0,443,0,2
14699,10,17,15,19,13453,75,0,364,0,2
5738,7,8,0,35,2530,95,0,84,0,0
6617,4,9,6,6,5000,35,0,358,0,2
6488,4,9,2,2,7538,30,0,153,0,2
1717,6,3,27,33,2328,33,0,268,2,1
1544,6,3,20,25,4546,13,0,385,0,1
12307,9,15,12,17,4395,11,0,359,0,2
9809,14,13,0,35,12592,33,1,54,1,2
10924,18,14,2,2,7996,93,0,382,0,0
17529,7,19,16,20,13047,33,0,370,0,0
9609,8,12,25,31,8232,4,0,343,0,0
7121,4,9,27,33,10429,48,0,268,2,1
13748,12,16,33,41,10018,93,0,460,0,0
9611,8,12,25,31,822,95,0,343,0,1
796,16,2,2,2,3968,95,0,386,0,2
3396,1,5,14,1,7238,7,0,440,0,2
8102,5,11,0,43,12888,40,0,461,0,1
7052,4,9,25,31,4216,48,0,343,0,2
16979,7,19,3,3,6024,25,0,314,0,2
6908,4,9,15,19,1007,35,0,364,0,1
2066,17,4,2,2,11972,95,0,145,0,1
15350,11,18,0,43,11921,93,0,461,0,1
12863,12,16,0,43,3756,95,0,461,0,0
1068,16,2,25,31,3086,95,0,360,0,1
9935,14,13,2,2,11911,31,0,91,0,0
4531,13,6,12,17,6784,83,0,359,0,0
8338,5,11,6,6,11603,35,0,286,0,0
16528,11,18,35,44,155,11,0,264,0,2
10872,18,14,2,2,6728,70,1,143,1,1
18489,15,20,3,3,1715,95,1,314,1,1
12234,9,15,11,15,5717,75,1,355,1,0
19022,15,20,16,20,6683,61,0,370,0,0
